ID,Treatment,Rooms,Shared_Bathroom,Monthly_Rate,Region,Greater_Region,Photos,rent_control,Available_Now,Responded
95,1,5,0,950,san jose east,South Bay,1,1,listing_deleted,0
96,1,4,1,1100,san jose north,South Bay,0,1,0,1
97,0,4,0,1250,sunnyvale,South Bay,1,0,1,1
98,1,3,0,1200,sunnyvale,South Bay,1,0,1,0
99,1,2,0,1375,san jose north,South Bay,1,1,0,1
100,1,4,0,1090,san jose north,South Bay,1,1,0,1
101,1,3,0,1450,sunset / parkside,San Francisco,0,1,0,1
102,0,2,0,1925,western addition,San Francisco,1,1,0,1
103,1,4,1,900,Cole Valley / Ashbury Hts,San Francisco,0,1,0,0
104,0,5,1,1390,San Francisco,San Francisco,1,1,0,1
105,0,3,1,1750,downtown / civic / van ness,San Francisco,1,1,0,1
106,1,2,1,1400,Alamo Square / nopa,San Francisco,1,1,0,0
107,0,3,1,1400,alamo Square / nopa,San Francisco,1,1,0,0
108,1,2,0,2250,north beach / telegraph hill,San Francisco,1,1,0,0
109,1,4,0,1650,alamo Square / nopa,San Francisco,1,1,1,1
110,0,2,1,1950,pacific heights,San Francisco,0,1,0,1
111,0,4,1,1000,San Mateo,South Bay,1,0,0,1
112,1,2,0,1350,San Jose South,South Bay,1,1,0,0
113,0,2,0,1300,santa clara,South Bay,1,0,0,1
114,0,3,0,1300,Campbell,South Bay,0,0,0,1
115,1,6,1,1990,santa clara,South Bay,1,0,0,1
116,1,3,1,1365,Mountain View South Bay,South Bay,1,1,0,1
117,0,2,0,1600,Mountain View South Bay,South Bay,1,1,0,0
118,1,3,1,1000,San Jose East,South Bay,1,1,0,1
119,0,4,1,900,San Jose East,South Bay,1,1,1,0
120,1,3,1,1315,Mountain View,South Bay,0,1,0,1
